
time,ax,ay,az,Latitude,Longitude,Speed (m/s),
0.098634,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.160725,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.161885,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.224515,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.225168,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.286679,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.287367,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.349652,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.350454,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.412860,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.413996,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.475389,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.479517,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.537154,0.0000,0.0000,0.0000,55.75024175,48.74350549,1.26999998,
0.537792,-0.3828,2.3829,-2.5123,55.75026012,48.74351511,1.55999994,
0.538779,-0.3828,2.3829,-2.5123,55.75026012,48.74351511,1.55999994,
0.600367,-0.3828,2.3829,-2.5123,55.75026012,48.74351511,1.55999994,
0.601180,-0.3828,2.3829,-2.5123,55.75026012,48.74351511,1.55999994,
0.601652,1.0472,-0.7809,-9.7027,55.75026012,48.74351511,1.55999994,
0.663277,1.0472,-0.7809,-9.7027,55.75026012,48.74351511,1.55999994,
0.663944,1.0472,-0.7809,-9.7027,55.75026012,48.74351511,1.55999994,
0.664406,3.0518,-1.4209,3.3611,55.75026012,48.74351511,1.55999994,
0.725648,3.0518,-1.4209,3.3611,55.75026012,48.74351511,1.55999994,
0.726323,3.0518,-1.4209,3.3611,55.75026012,48.74351511,1.55999994,
0.726823,2.4852,-1.1639,4.0779,55.75026012,48.74351511,1.55999994,
0.788115,2.4852,-1.1639,4.0779,55.75026012,48.74351511,1.55999994,
0.788800,2.4852,-1.1639,4.0779,55.75026012,48.74351511,1.55999994,
0.789253,4.3427,-1.5222,-0.4554,55.75026012,48.74351511,1.55999994,
0.850827,4.3427,-1.5222,-0.4554,55.75026012,48.74351511,1.55999994,
0.851538,4.3427,-1.5222,-0.4554,55.75026012,48.74351511,1.55999994,
0.852009,0.8873,1.6998,6.2197,55.75026012,48.74351511,1.55999994,
0.913426,0.8873,1.6998,6.2197,55.75026012,48.74351511,1.55999994,
0.914669,0.8873,1.6998,6.2197,55.75026012,48.74351511,1.55999994,
0.915602,0.1704,0.4739,5.3072,55.75026012,48.74351511,1.55999994,
0.976261,2.3870,0.7165,6.7051,55.75026012,48.74351511,1.55999994,
0.977781,2.3870,0.7165,6.7051,55.75026012,48.74351511,1.55999994,
0.978226,2.3870,0.7165,6.7051,55.75026012,48.74351511,1.55999994,
